"filename", "language", "Markdown", "Go", "Go Checksum File", "Go Module File", "JSON", "YAML", "Python", "comment", "blank", "total"
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\.github\workflows\go.yml", "YAML", 0, 0, 0, 0, 0, 19, 0, 2, 8, 29
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\.github\workflows\release.yml", "YAML", 0, 0, 0, 0, 0, 27, 0, 2, 4, 33
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\README.md", "Markdown", 28, 0, 0, 0, 0, 0, 0, 0, 10, 38
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\app.go", "Go", 0, 332, 0, 0, 0, 0, 0, 27, 57, 416
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\config.go", "Go", 0, 17, 0, 0, 0, 0, 0, 2, 6, 25
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\bisect\enumeration.go", "Go", 0, 52, 0, 0, 0, 0, 0, 11, 13, 76
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\bisect\service.go", "Go", 0, 197, 0, 0, 0, 0, 0, 68, 56, 321
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\imcs\engine.go", "Go", 0, 169, 0, 0, 0, 0, 0, 57, 45, 271
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\imcs\errors.go", "Go", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\imcs\execution_log.go", "Go", 0, 45, 0, 0, 0, 0, 0, 10, 12, 67
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\imcs\history.go", "Go", 0, 78, 0, 0, 0, 0, 0, 7, 17, 102
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\imcs\imcs_algorithm.go", "Go", 0, 85, 0, 0, 0, 0, 0, 32, 23, 140
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\imcs\state.go", "Go", 0, 77, 0, 0, 0, 0, 0, 42, 20, 139
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\integration_test.go", "Go", 0, 321, 0, 0, 0, 0, 0, 22, 46, 389
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\mods\activator.go", "Go", 0, 147, 0, 0, 0, 0, 0, 28, 31, 206
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\mods\loader.go", "Go", 0, 398, 0, 0, 0, 0, 0, 44, 71, 513
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\mods\manager.go", "Go", 0, 166, 0, 0, 0, 0, 0, 32, 23, 221
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\mods\overrides.go", "Go", 0, 195, 0, 0, 0, 0, 0, 23, 28, 246
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\mods\parser.go", "Go", 0, 165, 0, 0, 0, 0, 0, 10, 24, 199
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\mods\resolver.go", "Go", 0, 336, 0, 0, 0, 0, 0, 41, 65, 442
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\mods\types.go", "Go", 0, 106, 0, 0, 0, 0, 0, 17, 21, 144
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\mods\version.go", "Go", 0, 177, 0, 0, 0, 0, 0, 21, 29, 227
"e:\Documents\Dev\Shared\fabric-mod-bisect-tool-2\app\core\sets\ops.go", "Go", 0, 86, 0, 0, 0, 0, 0, 16, 13, 115
